2025-09-18 23:15:44,438 | jit-mm-swift | INFO |  Stats: {'orders_placed': 0, 'orders_cancelled': 0, 'cancel_replace_success': 0, 'cancel_replace_failed': 0, 'swift_orders_received': 4889, 'swift_orders_processed': 0, 'swift_orders_errors': 0, 'jit_trades_executed': 1616, 'jit_errors': 0, 'jit_profit': 1099.3155529360006, 'health': {'tick_count': 0, 'error_count': 0, 'last_error_time': 0, 'collateral_check_interval': 30, 'last_collateral_check': 0, 'user_map_subscription_active': True, 'swift_subscription_active': False}, 'order_sync_success': 2519, 'active_orders': 12, 'total_orders': 12, 'swift_orders_received_total': 0, 'profitability': {'total_trades': 1616, 'profitable_expected': 1616, 'unprofitable_expected': 0, 'total_projected_pnl': 1099.3155529360006, 'profitable_trades_pnl': 1099.3155529360006, 'unprofitable_trades_pnl': 0.0, 'profitability_rate': 100.0, 'avg_projected_pnl': 0.6802695253316835}, 'placement_blocked': False, 'can_place_more': False, 'max_live_orders': 10, 'active_orders_count': 12, 'execution_route': 'swift', 'sidecar_degraded': False, 'performance': {'total_ticks': 0, 'successful_ticks': 0, 'failed_ticks': 0, 'avg_tick_time': 0.0, 'last_tick_time': 0.0, 'error_rate': 0.0}, 'websocket_health': {'connected': False, 'last_message_time': 0, 'reconnection_attempts': 0, 'auth_status': 'pending'}, 'swift_processor_stats': {'processed_orders': 0, 'successful_trades': 0, 'failed_trades': 0, 'success_rate': 0.0}, 'position': {'current_position': 0.0, 'max_position': 120.0, 'should_trade': True}}
2025-09-18 23:15:44,642 | jit-mm-swift | INFO | Syncing existing orders from Drift...
2025-09-18 23:15:44,642 | jit-mm-swift | INFO | DriftPy get_open_orders returned 12 orders
2025-09-18 23:15:44,643 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.03
2025-09-18 23:15:44,644 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:44,644 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:44,646 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:44,647 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:44,648 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:44,648 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:44,650 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:44,651 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:44,656 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:44,657 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:44,658 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $243.97
2025-09-18 23:15:44,658 | jit-mm-swift | INFO | REAL order sync complete: 12 orders tracked in 16.5ms
2025-09-18 23:15:44,658 | jit-mm-swift | INFO | Periodic order sync completed: 12 orders tracked
2025-09-18 23:15:48,629 | jit-mm-swift | WARNING | placement_blocked: at max orders (12/10)
2025-09-18 23:15:48,629 | jit-mm-swift | INFO |  Stats: {'orders_placed': 0, 'orders_cancelled': 0, 'cancel_replace_success': 0, 'cancel_replace_failed': 0, 'swift_orders_received': 5439, 'swift_orders_processed': 0, 'swift_orders_errors': 0, 'jit_trades_executed': 0, 'jit_errors': 0, 'jit_profit': 0.0, 'health': {'tick_count': 0, 'error_count': 0, 'last_error_time': 0, 'collateral_check_interval': 30, 'last_collateral_check': 0, 'user_map_subscription_active': True, 'swift_subscription_active': False}, 'order_sync_success': 2674, 'active_orders': 12, 'total_orders': 12, 'swift_orders_received_total': 0, 'profitability': {'total_trades': 0, 'profitable_expected': 0, 'unprofitable_expected': 0, 'profitability_rate': 0.0, 'total_projected_pnl': 0.0, 'avg_projected_pnl': 0.0}, 'placement_blocked': False, 'can_place_more': False, 'max_live_orders': 10, 'active_orders_count': 12, 'execution_route': 'swift', 'sidecar_degraded': False, 'performance': {'total_ticks': 0, 'successful_ticks': 0, 'failed_ticks': 0, 'avg_tick_time': 0.0, 'last_tick_time': 0.0, 'error_rate': 0.0}, 'websocket_health': {'connected': False, 'last_message_time': 0, 'reconnection_attempts': 0, 'auth_status': 'pending'}, 'swift_processor_stats': {'processed_orders': 0, 'successful_trades': 0, 'failed_trades': 0, 'success_rate': 0.0}, 'position': {'current_position': 0.0, 'max_position': 120.0, 'should_trade': True}}
2025-09-18 23:15:49,523 | jit-mm-swift | INFO | [VERBOSE] === ORDER PLACEMENT LIMIT CHECK ===
2025-09-18 23:15:49,523 | jit-mm-swift | INFO | [VERBOSE] active_orders type: <class 'dict'>
2025-09-18 23:15:49,524 | jit-mm-swift | INFO | [VERBOSE] placement_blocked: False
2025-09-18 23:15:49,524 | jit-mm-swift | INFO | [VERBOSE] max_live_orders: 10
2025-09-18 23:15:49,525 | jit-mm-swift | INFO | [VERBOSE] Current active orders count: 12
2025-09-18 23:15:49,525 | jit-mm-swift | INFO | [VERBOSE] Max live orders limit: 10
2025-09-18 23:15:49,526 | jit-mm-swift | INFO | [VERBOSE] Can place more: False
2025-09-18 23:15:49,526 | jit-mm-swift | WARNING | placement_blocked: at max orders (12/10)
2025-09-18 23:15:49,528 | jit-mm-swift | WARNING | [VERBOSE] Active orders details: ['6234', '6235', '6236', '6237', '6238', '6239', '6240', '6241', '6242', '6243', '6244', '6245']
2025-09-18 23:15:49,528 | jit-mm-swift | INFO |  Stats: {'orders_placed': 0, 'orders_cancelled': 0, 'cancel_replace_success': 0, 'cancel_replace_failed': 0, 'swift_orders_received': 4889, 'swift_orders_processed': 0, 'swift_orders_errors': 0, 'jit_trades_executed': 1616, 'jit_errors': 0, 'jit_profit': 1099.3155529360006, 'health': {'tick_count': 0, 'error_count': 0, 'last_error_time': 0, 'collateral_check_interval': 30, 'last_collateral_check': 0, 'user_map_subscription_active': True, 'swift_subscription_active': False}, 'order_sync_success': 2520, 'active_orders': 12, 'total_orders': 12, 'swift_orders_received_total': 0, 'profitability': {'total_trades': 1616, 'profitable_expected': 1616, 'unprofitable_expected': 0, 'total_projected_pnl': 1099.3155529360006, 'profitable_trades_pnl': 1099.3155529360006, 'unprofitable_trades_pnl': 0.0, 'profitability_rate': 100.0, 'avg_projected_pnl': 0.6802695253316835}, 'placement_blocked': False, 'can_place_more': False, 'max_live_orders': 10, 'active_orders_count': 12, 'execution_route': 'swift', 'sidecar_degraded': False, 'performance': {'total_ticks': 0, 'successful_ticks': 0, 'failed_ticks': 0, 'avg_tick_time': 0.0, 'last_tick_time': 0.0, 'error_rate': 0.0}, 'websocket_health': {'connected': False, 'last_message_time': 0, 'reconnection_attempts': 0, 'auth_status': 'pending'}, 'swift_processor_stats': {'processed_orders': 0, 'successful_trades': 0, 'failed_trades': 0, 'success_rate': 0.0}, 'position': {'current_position': 0.0, 'max_position': 120.0, 'should_trade': True}}
2025-09-18 23:15:50,700 | jit-mm-swift | INFO | [VERBOSE] === ORDER SYNC START ===
2025-09-18 23:15:50,700 | jit-mm-swift | INFO | [VERBOSE] sync_start delay=10s
2025-09-18 23:15:50,700 | jit-mm-swift | INFO | [VERBOSE] Current active_orders count before sync: 12
2025-09-18 23:15:50,701 | jit-mm-swift | INFO | Syncing existing orders from Drift...
2025-09-18 23:15:50,702 | jit-mm-swift | INFO | DriftPy get_open_orders returned 12 orders
2025-09-18 23:15:50,703 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.03
2025-09-18 23:15:50,703 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:50,704 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:50,704 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:50,704 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:50,705 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:50,705 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:50,706 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:50,706 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:50,706 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:50,707 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:50,707 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $243.97
2025-09-18 23:15:50,708 | jit-mm-swift | INFO | REAL order sync complete: 12 orders tracked in 7.0ms
2025-09-18 23:15:50,708 | jit-mm-swift | INFO | [VERBOSE] === ORDER CLEANUP START ===
2025-09-18 23:15:50,709 | jit-mm-swift | INFO | [VERBOSE] Current order count: 12/32
2025-09-18 23:15:50,709 | jit-mm-swift | INFO | [VERBOSE] Order count 12 below threshold 25, skipping cleanup
2025-09-18 23:15:50,710 | jit-mm-swift | INFO | [VERBOSE] === ORDER SYNC COMPLETE ===
2025-09-18 23:15:50,711 | jit-mm-swift | INFO | [VERBOSE] sync_ok active_orders=12
2025-09-18 23:15:50,712 | jit-mm-swift | INFO | [VERBOSE] max_live_orders setting: 10
2025-09-18 23:15:50,713 | jit-mm-swift | INFO | [VERBOSE] placement_blocked: False
2025-09-18 23:15:50,713 | jit-mm-swift | INFO | [VERBOSE] Active order details:
2025-09-18 23:15:50,714 | jit-mm-swift | INFO | [VERBOSE]   Order 6234: OrderInfo(order_id='6234', side='sell', price=244.0259, size=0.25, timestamp=1758251720.703634, status='active')
2025-09-18 23:15:50,714 | jit-mm-swift | INFO | [VERBOSE]   Order 6235: OrderInfo(order_id='6235', side='sell', price=244.0208, size=0.25, timestamp=1758251720.703634, status='active')
2025-09-18 23:15:50,714 | jit-mm-swift | INFO | [VERBOSE]   Order 6236: OrderInfo(order_id='6236', side='sell', price=244.0208, size=0.25, timestamp=1758251720.7046328, status='active')
2025-09-18 23:15:50,715 | jit-mm-swift | INFO | [VERBOSE]   Order 6237: OrderInfo(order_id='6237', side='sell', price=244.0198, size=0.25, timestamp=1758251720.7046328, status='active')
2025-09-18 23:15:50,715 | jit-mm-swift | INFO | [VERBOSE]   Order 6238: OrderInfo(order_id='6238', side='sell', price=244.0244, size=0.25, timestamp=1758251720.7046328, status='active')
2025-09-18 23:15:50,746 | jit-mm-swift | INFO | Syncing existing orders from Drift...
2025-09-18 23:15:50,746 | jit-mm-swift | INFO | DriftPy get_open_orders returned 12 orders
2025-09-18 23:15:50,747 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.03
2025-09-18 23:15:50,747 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:50,748 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
